admit , admettre ,0
aim , un but/cibler,0
allow , permettre,0
apologize for , s'excuser,0
appeal , être attrayant,0
assume , supposer,0
avoid , éviter,0
aware of , conscient de,0
be prone to , enclin à / sujet à,0
broaden , élargir,0
con , escroquer,0
consider , considérer,0
deal with , s'occuper de / se charger de,0
demonstrate , démontrer/manifester,0
drop by , passer chez qqun,0
drown ,  (se) noyer,0
emphasize/highlight , mettre l'accent sur,0
enhance/improve, améliorer,0
entitle , autoriser qqun à faire qqc,0
expect , attendre,0
fall apart , tomber en morceaux,0
figure out , savoir / comprendre,0
fool ,  un idiot/tromper,0
fulfill , remplir,0
get along with , s'entendre avec,0
hamper , ralentir/gêner,0
harden , durcir,0
heighten , monter,0
hinder , gêner/entraver,0
issue , distribuer/publier/un problème,0
lean against , (s')appuyer contre,0
lengthen , allonger,0
liken , comparer,0
loosen , débloquer/détacher,0
lower , baisser,0
mix up , confondre,0
occur , se produire,0
outnumber , dépasser (en nombre),0
pick up , ramasser / passer prendre qqun / décrocher,0
prohibit , interdire,0
sharpen , affûter,0
shorten , raccourcir,0
trigger , provoquer/gâchette,0
urge , pousser / conseiller vivement,0
widen , élargir,0
work out , évaluer/calculer,0
accurate, exact ,0
accurately, avec précision ,0
attire, vêtements / habits,0
background, en arrière-plan / l'expérience,0
bottom libe, ce qu'il faut retenir ,0
burden, une charge ,0
damp,  humide ,0
decade, une décennie ,0
discrepancy, une contradiction ,0
disruption,  une perturbation ,0
effective/efficient,  efficace ,0
eventually,  finalement / un jour ,0
failure,  échec ,0
feature, caractéristique ,0
figure, un chiffre ,0
fireworks,  feux d'artifice,0
forthcoming,  à venir ,0
garment,  un vêtement ,0
give a hand with,  donner un coup de main ,0
grueling,  ereintant ,0
harmful,  nocif ,0
hazard,  un danger ,0
in depth,  en profondeur / détaillé ,0
in the long run,  à long terme ,0
in the meantime,  dans l'intervalle ,0
insight,  la perspicacite ,0
misleading,  trompeur ,0
obviously,  évidemment ,0
outstanding,  exceptionnel ,0
overall,  dans l'ensemble,0 
overcrowded,  surchargé ,0
overdue,  en retard ,0
overview,  une vue d'ensemble,0 
purpose,  un objectif ,0
remote,  lointain / à distance,0 
rough,  brut / rugueux / agité ,0
slug,  une limace ,0
sluggish,  lent / peu actif,0 
start from scratch,  partir de zéro / de rien,0 
target,  une cible ,0
thoroughly,  minutieusement,0 
tough,  dur / résistant / difficile ,0
tremendous,  énorme ,0
upcoming,  prochain / à paraître,0
